series_key,brand,series,body_type,energy_type,vehicle_categories,energy_subtypes,manufacturer_attributes,taxonomy_source,taxonomy_confidence
stelvio斯坦维,阿尔法·罗密欧,Stelvio斯坦维,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
supra,丰田,Supra,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
taga达咖,五十铃,TAGA达咖,,燃油车,,燃油,,internal_90d,0.88
taycan,保时捷,Taycan,,新能源,,新能源,,internal_90d,0.88
tiguan,大众,Tiguan,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
tonale托纳利,阿尔法·罗密欧,Tonale托纳利,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
tribeca驰鹏,斯巴鲁,TRIBECA驰鹏,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
troc探歌,大众,T-ROC探歌,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
u5ev,纳智捷,U5 EV,,新能源,,新能源,,internal_90d,0.88
u5suv,纳智捷,U5 SUV,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
u6turbo,纳智捷,U6 TURBO,,燃油车,,燃油,,internal_90d,0.88
u7turbo,纳智捷,U7 TURBO,,燃油车,,燃油,,internal_90d,0.88
ulster,阿斯顿·马丁,Ulster,,燃油车,,燃油,,internal_90d,0.88
urus,兰博基尼,Urus,,燃油车,,燃油,,internal_90d,0.88
v12speedster,阿斯顿·马丁,V12 SPEEDSTER,,燃油车,,燃油,,internal_90d,0.88
v12vantage,阿斯顿·马丁,V12 Vantage,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
v3菱悦,东南,V3菱悦,,燃油车,,燃油,,internal_90d,0.88
v5菱致,东南,V5菱致,,燃油车,,燃油,,internal_90d,0.88
v6菱仕,东南,V6菱仕,,燃油车,,燃油,,internal_90d,0.88
valhalla,阿斯顿·马丁,Valhalla,,新能源,,新能源,,internal_90d,0.88
vanlife系列,威尔特芬,Vanlife系列,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
vantage,阿斯顿·马丁,Vantage,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
velite5,别克,VELITE 5,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
veloster飞思,现代,Veloster飞思,,燃油车,,燃油,,internal_90d,0.88
vgvtx7,中国重汽VGV,VGV TX7,,燃油车,,燃油,,internal_90d,0.88
vgvu70,中国重汽VGV,VGV U70,,燃油车,,燃油,,internal_90d,0.88
vgvu70pro,中国重汽VGV,VGV U70Pro,,燃油车,,燃油,,internal_90d,0.88
vgvu75plus,中国重汽VGV,VGV U75PLUS,,燃油车,,燃油,,internal_90d,0.88
wish,丰田,WISH,,燃油车,,燃油,,internal_90d,0.88
xcclassic,沃尔沃,XC Classic,,燃油车,,燃油,,internal_90d,0.88
yarisl致享,丰田,YARIS L 致享,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
yarisl致炫,丰田,YARIS L 致炫,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
yaris进口,丰田,YARIS(进口),轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
