excluded_brand,baseline_candidate_count,selected_candidate_count,selection_rate,profit_retention_rate,avg_profit_lift,days_to_sell_ratio,acquisition_conversion_lift,sales_conversion_lift,leader_all_pass
陆风,30241,18036,0.596409,1.076288,1.5327933787697419,0.846076159393288,1.3185346459674365,1.2842623519388379,True
雪佛兰,29819,17668,0.592508,1.078737,1.5427473428668845,0.8448357632274518,1.3229137578607573,1.288177935674062,True
雪铁龙,30111,17932,0.59553,1.077172,1.53588936428265,0.8456481579198427,1.3190866020457703,1.286100939941867,True
零跑汽车,29939,17733,0.592304,1.077927,1.5437230034127098,0.8455744518952598,1.3199787132733944,1.28712969046091,True
雷丁,30243,18036,0.596369,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
雷克萨斯,30043,17971,0.598176,1.071647,1.5232029951658252,0.8478194246242235,1.3156398785660173,1.2808426631036516,True
雷诺,30214,18025,0.596578,1.077065,1.5333428695097004,0.8460988419978228,1.318246354459558,1.2836738001982864,True
领克,29549,17636,0.596839,1.078859,1.5297693124596108,0.8458965153955421,1.3247082469977811,1.2887161543517327,True
领途汽车,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2841461667784957,True
飞凡汽车,30227,18029,0.596454,1.077136,1.533709819962877,0.8458877346995942,1.3185757410357235,1.284937943830776,True
马自达,29761,17670,0.59373,1.078093,1.539126802931772,0.8451429660282661,1.3212681830129693,1.2899147775501656,True
驭胜,30244,18036,0.59635,1.075247,1.531310953140093,0.8462811836179294,1.3184392069086475,1.2841461667784957,True
高合,30244,18036,0.59635,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
魏牌,30079,17877,0.594335,1.078711,1.5401400282973552,0.8455785336638922,1.320683831193806,1.286987354008466,True
黄海,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
