unique_product_id,city,brand,series,energy_type,body_type,price_band,market_state,market_match_scope,dsi_label,dsi_model_count,dsi_consistency,qualification_reason
23129527,上海,吉利汽车,帝豪L HiP,新能源,轿车,0-5万,常规行情,national_series_from_city_table,供需平衡,10,0.6,常规行情 + DSI供需平衡
23151731,上海,吉利汽车,星越L,燃油车,SUV,5-10万,结构性行情,national_series_from_city_table,供需平衡,31,0.4838709677419355,结构性行情 + DSI供需平衡
23499905,上海,吉利汽车,星越L,燃油车,SUV,5-10万,结构性行情,national_series_from_city_table,供需平衡,31,0.4838709677419355,结构性行情 + DSI供需平衡
23558588,上海,吉利汽车,星越L,燃油车,SUV,5-10万,结构性行情,national_series_from_city_table,供需平衡,31,0.4838709677419355,结构性行情 + DSI供需平衡
23802447,上海,吉利汽车,星越L,燃油车,SUV,5-10万,结构性行情,national_series_from_city_table,供需平衡,31,0.4838709677419355,结构性行情 + DSI供需平衡
24286209,上海,吉利汽车,星越L,燃油车,SUV,5-10万,结构性行情,national_series_from_city_table,供需平衡,31,0.4838709677419355,结构性行情 + DSI供需平衡
23734550,上海,吉利汽车,缤越,燃油车,SUV,0-5万,常规行情,national_series_from_city_table,供需平衡,37,0.43243243243243246,常规行情 + DSI供需平衡
24346381,上海,吉利汽车,缤越,燃油车,SUV,0-5万,常规行情,national_series_from_city_table,供需平衡,37,0.43243243243243246,常规行情 + DSI供需平衡
23475337,上海,吉利银河,星愿,新能源,轿车,5-10万,常规行情,national_series_from_city_table,供不应求,15,1,常规行情 + DSI供不应求
24317597,上海,吉利银河,星愿,新能源,轿车,5-10万,常规行情,national_series_from_city_table,供不应求,15,1,常规行情 + DSI供不应求
23499206,上海,吉利银河,熊猫,新能源,轿车,0-5万,常规行情,city_exact,供不应求,36,0.6111111111111112,常规行情 + DSI供不应求
23933041,上海,吉利银河,熊猫,新能源,轿车,0-5万,常规行情,city_exact,供不应求,36,0.6111111111111112,常规行情 + DSI供不应求
23957948,上海,吉利银河,熊猫,新能源,轿车,0-5万,常规行情,city_exact,供不应求,36,0.6111111111111112,常规行情 + DSI供不应求
24431954,上海,吉利银河,熊猫,新能源,轿车,0-5万,常规行情,city_exact,供不应求,36,0.6111111111111112,常规行情 + DSI供不应求
23988763,上海,吉利银河,银河E5,新能源,SUV,5-10万,常规行情,national_series_from_city_table,供不应求,10,1,常规行情 + DSI供不应求
24115737,上海,吉利银河,银河E5,新能源,SUV,5-10万,常规行情,national_series_from_city_table,供不应求,10,1,常规行情 + DSI供不应求
23602778,上海,吉利银河,银河L7,新能源,SUV,5-10万,常规行情,national_series_from_city_table,供需平衡,13,0.6153846153846154,常规行情 + DSI供需平衡
23234758,上海,吉利银河,银河星耀8 PHEV,新能源,轿车,5-10万,常规行情,national_series_from_city_table,供不应求,8,0.75,常规行情 + DSI供不应求
23720095,上海,吉利银河,银河星耀8 PHEV,新能源,轿车,10-15万,常规行情,national_series_from_city_table,供不应求,8,0.75,常规行情 + DSI供不应求
23527946,上海,吉利银河,银河星舰7 EM-i,新能源,SUV,5-10万,常规行情,national_series_from_city_table,供不应求,9,1,常规行情 + DSI供不应求
23577933,上海,吉利银河,银河星舰7 EM-i,新能源,SUV,5-10万,常规行情,national_series_from_city_table,供不应求,9,1,常规行情 + DSI供不应求
23865899,上海,名爵,MG5,燃油车,轿车,0-5万,常规行情,national_series_from_city_table,供不应求,38,0.3684210526315789,常规行情 + DSI供不应求
23851974,上海,名爵,MG6,燃油车,轿车,,常规行情,national_series_from_city_table,供不应求,50,0.36,常规行情 + DSI供不应求
23940241,上海,名爵,MG6,燃油车,轿车,5-10万,常规行情,national_series_from_city_table,供不应求,50,0.36,常规行情 + DSI供不应求
24128412,上海,名爵,MG6,燃油车,轿车,5-10万,常规行情,national_series_from_city_table,供不应求,50,0.36,常规行情 + DSI供不应求
24288882,上海,名爵,MG6,燃油车,轿车,0-5万,常规行情,national_series_from_city_table,供不应求,50,0.36,常规行情 + DSI供不应求
23423772,上海,名爵,MG6 PHEV,新能源,轿车,0-5万,常规行情,national_series_from_model_table,供不应求,7,0.5714285714285714,常规行情 + DSI供不应求
23442240,上海,名爵,MG6 PHEV,新能源,轿车,0-5万,常规行情,national_series_from_model_table,供不应求,7,0.5714285714285714,常规行情 + DSI供不应求
23486794,上海,名爵,MG6 PHEV,新能源,轿车,0-5万,常规行情,national_series_from_model_table,供不应求,7,0.5714285714285714,常规行情 + DSI供不应求
23939176,上海,名爵,MG7,燃油车,轿车,5-10万,常规行情,national_series_from_model_table,供不应求,25,0.64,常规行情 + DSI供不应求
23162057,上海,哈弗,哈弗大狗,燃油车,SUV,5-10万,常规行情,national_series_from_city_table,供需平衡,46,0.5217391304347826,常规行情 + DSI供需平衡
